run_id,model,strategy,module,function,fn_id,source_file,test_output_file,ccm,range,line_start,line_end,source_hash,duration_ns,tokens,generation_success,jest_success,runtime_repairs,repair_tokens,repair_success_count,repair_fail_count,requires_typescript_repair,analysis_eligible,execution_status,artifact_disposition,total_tests,passed_tests,failed_tests,pending_tests,fn_statements_total,fn_statements_covered,fn_statements_pct,fn_branches_total,fn_branches_covered,fn_branches_pct,fn_functions_total,fn_functions_covered,fn_functions_pct,error
run-20260901T031236.570959Z,qwen_coder_3b,few_shot,encounter,createEncounter,FN_createEncounter_END,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,5,medium,30,63,04a941d1,17057962300,2726,True,True,1.0,2996.0,2.0,0.0,False,True,jest_success,accepted,4.0,3.0,0.0,1.0,11.0,3.0,27.27,8.0,2.0,25.0,1.0,1.0,100.0,
run-20260901T031236.570959Z,qwen_coder_3b,few_shot,encounter,validateEncounterFields,FN_validateEncounterFields_END,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,11,high,65,91,04a941d1,15661074000,2566,True,True,1.0,5916.0,6.0,0.0,False,True,jest_success,accepted,6.0,0.0,0.0,6.0,10.0,0.0,0.0,20.0,0.0,0.0,1.0,0.0,0.0,
run-20260901T031236.570959Z,qwen_coder_3b,few_shot,encounter,listEncountersByPatient,FN_listEncountersByPatient_END,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,1,low,93,99,04a941d1,7384914800,2177,True,True,2.0,3054.0,3.0,0.0,False,True,jest_success,accepted,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
run-20260901T031236.570959Z,qwen_coder_3b,few_shot,encounter,getEncounterById,FN_getEncounterById_END,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,2,low,101,107,04a941d1,3690919300,1974,True,True,0.0,0.0,0.0,0.0,False,True,jest_success,accepted,2.0,2.0,0.0,0.0,4.0,4.0,100.0,2.0,2.0,100.0,1.0,1.0,100.0,
run-20260901T031236.570959Z,qwen_coder_3b,few_shot,encounter,transitionEncounterStatus,FN_transitionEncounterStatus_END,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,18,high,109,197,04a941d1,215746139400,10691,False,,,,,,,False,generation_invalid,,,,,,,,,,,,,,,invalid_block
run-20260901T031236.570959Z,qwen_coder_3b,few_shot,encounter,processAdtMessage,FN_processAdtMessage_END,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,21,high,199,317,04a941d1,81935725500,5881,True,True,3.0,28219.0,12.0,1.0,False,True,jest_success,accepted,10.0,4.0,0.0,6.0,37.0,17.0,45.95,33.0,13.0,39.39,1.0,1.0,100.0,
run-20260901T031236.570959Z,qwen_coder_3b,few_shot,encounter,updateEncounter,FN_updateEncounter_END,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,9,medium,319,363,04a941d1,215989581500,10296,False,,,,,,,False,generation_invalid,,,,,,,,,,,,,,,invalid_block
run-20260901T031236.570959Z,qwen_coder_3b,few_shot,encounter,buildEncounterSummary,FN_buildEncounterSummary_END,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,20,high,365,439,04a941d1,23481396800,3162,True,True,1.0,4253.0,3.0,0.0,False,True,jest_success,accepted,6.0,3.0,0.0,3.0,34.0,31.0,91.18,32.0,24.0,75.0,1.0,1.0,100.0,
run-20260901T031236.570959Z,qwen_coder_3b,few_shot,order,getOrderById,FN_getOrderById_END,src/order/order.service.ts,src/order/order.service.spec.ts,2,low,26,32,556cd6ea,3534601000,1951,True,True,0.0,0.0,0.0,0.0,False,True,jest_success,accepted,2.0,2.0,0.0,0.0,4.0,4.0,100.0,2.0,2.0,100.0,1.0,1.0,100.0,
run-20260901T031236.570959Z,qwen_coder_3b,few_shot,order,createOrder,FN_createOrder_END,src/order/order.service.ts,src/order/order.service.spec.ts,5,medium,34,70,556cd6ea,15969082400,2677,True,True,0.0,0.0,0.0,0.0,False,True,jest_success,accepted,4.0,4.0,0.0,0.0,10.0,10.0,100.0,8.0,7.0,87.5,1.0,1.0,100.0,
run-20260901T031236.570959Z,qwen_coder_3b,few_shot,order,searchOrders,FN_searchOrders_END,src/order/order.service.ts,src/order/order.service.spec.ts,1,low,72,74,556cd6ea,8300465500,2150,True,True,0.0,0.0,0.0,0.0,False,True,jest_success,accepted,2.0,2.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,100.0,
run-20260901T031236.570959Z,qwen_coder_3b,few_shot,order,searchOrdersAdvanced,FN_searchOrdersAdvanced_END,src/order/order.service.ts,src/order/order.service.spec.ts,1,low,76,78,556cd6ea,13408196000,2415,True,True,1.0,1122.0,1.0,0.0,False,True,jest_success,accepted,2.0,1.0,0.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,100.0,
run-20260901T031236.570959Z,qwen_coder_3b,few_shot,order,validateOrderResult,FN_validateOrderResult_END,src/order/order.service.ts,src/order/order.service.spec.ts,15,high,80,158,556cd6ea,38160309700,3823,True,True,2.0,24402.0,15.0,1.0,False,True,jest_success,accepted,13.0,3.0,0.0,10.0,29.0,6.0,20.69,28.0,3.0,10.71,3.0,1.0,33.33,
run-20260901T031236.570959Z,qwen_coder_3b,few_shot,order,cancelOrder,FN_cancelOrder_END,src/order/order.service.ts,src/order/order.service.spec.ts,2,low,160,168,556cd6ea,4629823400,2015,True,True,0.0,0.0,0.0,0.0,False,True,jest_success,accepted,2.0,2.0,0.0,0.0,5.0,5.0,100.0,2.0,2.0,100.0,1.0,1.0,100.0,
run-20260901T031236.570959Z,qwen_coder_3b,few_shot,order,updateOrder,FN_updateOrder_END,src/order/order.service.ts,src/order/order.service.spec.ts,7,medium,170,203,556cd6ea,15386218800,2588,True,True,0.0,0.0,0.0,0.0,False,True,jest_success,accepted,5.0,5.0,0.0,0.0,12.0,12.0,100.0,12.0,11.0,91.67,1.0,1.0,100.0,
run-20260901T031236.570959Z,qwen_coder_3b,few_shot,patient,getPatientById,FN_getPatientById_END,src/patient/patient.service.ts,src/patient/patient.service.spec.ts,2,low,15,21,0ddb42a2,6301105000,1720,True,True,0.0,0.0,0.0,0.0,False,True,jest_success,accepted,2.0,2.0,0.0,0.0,4.0,4.0,100.0,2.0,2.0,100.0,1.0,1.0,100.0,
run-20260901T031236.570959Z,qwen_coder_3b,few_shot,patient,listPatients,FN_listPatients_END,src/patient/patient.service.ts,src/patient/patient.service.spec.ts,1,low,23,25,0ddb42a2,3883027200,1587,True,True,0.0,0.0,0.0,0.0,False,True,jest_success,accepted,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,100.0,
run-20260901T031236.570959Z,qwen_coder_3b,few_shot,patient,createPatient,FN_createPatient_END,src/patient/patient.service.ts,src/patient/patient.service.spec.ts,4,low,27,51,0ddb42a2,13102590200,2179,True,True,1.0,1454.0,1.0,0.0,False,True,jest_success,accepted,3.0,2.0,0.0,1.0,11.0,10.0,90.91,6.0,4.0,66.67,1.0,1.0,100.0,
run-20260901T031236.570959Z,qwen_coder_3b,few_shot,patient,updatePatient,FN_updatePatient_END,src/patient/patient.service.ts,src/patient/patient.service.spec.ts,10,medium,53,75,0ddb42a2,6632952600,1918,True,True,1.0,1302.0,1.0,0.0,False,True,jest_success,accepted,2.0,1.0,0.0,1.0,7.0,4.0,57.14,18.0,9.0,50.0,1.0,1.0,100.0,
run-20260901T031236.570959Z,qwen_coder_3b,few_shot,patient,findByCpfOrFail,FN_findByCpfOrFail_END,src/patient/patient.service.ts,src/patient/patient.service.spec.ts,2,low,77,83,0ddb42a2,5017522700,1677,True,True,0.0,0.0,0.0,0.0,False,True,jest_success,accepted,2.0,2.0,0.0,0.0,4.0,4.0,100.0,2.0,2.0,100.0,1.0,1.0,100.0,
run-20260901T031236.570959Z,qwen_coder_3b,few_shot,result,createResult,FN_createResult_END,src/result/result.service.ts,src/result/result.service.spec.ts,5,medium,26,39,357b6b51,10768125300,2205,True,True,1.0,3096.0,3.0,0.0,False,True,jest_success,accepted,3.0,0.0,0.0,3.0,3.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,
run-20260901T031236.570959Z,qwen_coder_3b,few_shot,result,searchResults,FN_searchResults_END,src/result/result.service.ts,src/result/result.service.spec.ts,1,low,41,43,357b6b51,6322960600,1966,True,True,0.0,0.0,0.0,0.0,False,True,jest_success,accepted,2.0,2.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,100.0,
run-20260901T031236.570959Z,qwen_coder_3b,few_shot,result,getResultById,FN_getResultById_END,src/result/result.service.ts,src/result/result.service.spec.ts,2,low,45,51,357b6b51,5374210900,1871,True,True,0.0,0.0,0.0,0.0,False,True,jest_success,accepted,2.0,2.0,0.0,0.0,4.0,4.0,100.0,2.0,2.0,100.0,1.0,1.0,100.0,
run-20260901T031236.570959Z,qwen_coder_3b,few_shot,result,buildResultReport,FN_buildResultReport_END,src/result/result.service.ts,src/result/result.service.spec.ts,17,high,53,124,357b6b51,15774201300,2846,True,True,2.0,5615.0,3.0,0.0,False,True,jest_success,accepted,3.0,1.0,0.0,2.0,27.0,4.0,14.81,32.0,1.0,3.12,2.0,1.0,50.0,
run-20260901T031236.570959Z,qwen_coder_3b,few_shot,result,updateResult,FN_updateResult_END,src/result/result.service.ts,src/result/result.service.spec.ts,26,high,126,206,357b6b51,21757184600,3082,True,True,1.0,1379.0,1.0,0.0,False,True,jest_success,accepted,8.0,7.0,0.0,1.0,22.0,21.0,95.45,49.0,43.0,87.76,1.0,1.0,100.0,
run-20260901T031236.570959Z,qwen_coder_3b,structured,encounter,createEncounter,FN_createEncounter_END,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,5,medium,30,63,04a941d1,8562353200,2466,True,True,1.0,1532.0,1.0,0.0,False,True,jest_success,accepted,3.0,2.0,0.0,1.0,11.0,3.0,27.27,8.0,2.0,25.0,1.0,1.0,100.0,
run-20260901T031236.570959Z,qwen_coder_3b,structured,encounter,validateEncounterFields,FN_validateEncounterFields_END,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,11,high,65,91,04a941d1,22594033100,2889,True,True,2.0,7687.0,7.0,0.0,False,True,jest_success,accepted,5.0,0.0,0.0,5.0,10.0,0.0,0.0,20.0,0.0,0.0,1.0,0.0,0.0,
run-20260901T031236.570959Z,qwen_coder_3b,structured,encounter,listEncountersByPatient,FN_listEncountersByPatient_END,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,1,low,93,99,04a941d1,11618261100,2284,True,True,1.0,843.0,1.0,0.0,False,True,jest_success,accepted,3.0,2.0,0.0,1.0,2.0,2.0,100.0,0.0,0.0,0.0,1.0,1.0,100.0,
run-20260901T031236.570959Z,qwen_coder_3b,structured,encounter,getEncounterById,FN_getEncounterById_END,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,2,low,101,107,04a941d1,2918190800,1859,True,True,0.0,0.0,0.0,0.0,False,True,jest_success,accepted,1.0,1.0,0.0,0.0,4.0,3.0,75.0,2.0,1.0,50.0,1.0,1.0,100.0,
run-20260901T031236.570959Z,qwen_coder_3b,structured,encounter,transitionEncounterStatus,FN_transitionEncounterStatus_END,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,18,high,109,197,04a941d1,88835869400,6199,True,True,0.0,0.0,0.0,0.0,False,True,jest_success,accepted,10.0,10.0,0.0,0.0,37.0,25.0,67.57,34.0,22.0,64.71,2.0,2.0,100.0,
run-20260901T031236.570959Z,qwen_coder_3b,structured,encounter,processAdtMessage,FN_processAdtMessage_END,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,21,high,199,317,04a941d1,120634659600,7887,True,True,2.0,18383.0,6.0,0.0,False,True,jest_success,accepted,11.0,6.0,0.0,5.0,37.0,20.0,54.05,33.0,23.0,69.7,1.0,1.0,100.0,
run-20260901T031236.570959Z,qwen_coder_3b,structured,encounter,updateEncounter,FN_updateEncounter_END,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,9,medium,319,363,04a941d1,13288021100,2695,True,True,1.0,2401.0,2.0,0.0,False,True,jest_success,accepted,6.0,5.0,0.0,1.0,18.0,14.0,77.78,16.0,12.0,75.0,1.0,1.0,100.0,
run-20260901T031236.570959Z,qwen_coder_3b,structured,encounter,buildEncounterSummary,FN_buildEncounterSummary_END,src/encounter/encounter.service.ts,src/encounter/encounter.service.spec.ts,20,high,365,439,04a941d1,63943376500,5006,True,False,4.0,0.0,0.0,0.0,False,False,jest_failed,restored,-1.0,0.0,0.0,0.0,34.0,0.0,0.0,32.0,0.0,0.0,1.0,0.0,0.0,
run-20260901T031236.570959Z,qwen_coder_3b,structured,order,getOrderById,FN_getOrderById_END,src/order/order.service.ts,src/order/order.service.spec.ts,2,low,26,32,556cd6ea,2869197000,1833,True,True,0.0,0.0,0.0,0.0,False,True,jest_success,accepted,1.0,1.0,0.0,0.0,4.0,3.0,75.0,2.0,1.0,50.0,1.0,1.0,100.0,
run-20260901T031236.570959Z,qwen_coder_3b,structured,order,createOrder,FN_createOrder_END,src/order/order.service.ts,src/order/order.service.spec.ts,5,medium,34,70,556cd6ea,20601704300,2909,True,True,1.0,1612.0,1.0,0.0,False,True,jest_success,accepted,4.0,3.0,0.0,1.0,10.0,8.0,80.0,8.0,5.0,62.5,1.0,1.0,100.0,
run-20260901T031236.570959Z,qwen_coder_3b,structured,order,searchOrders,FN_searchOrders_END,src/order/order.service.ts,src/order/order.service.spec.ts,1,low,72,74,556cd6ea,8007204400,2034,True,True,1.0,726.0,1.0,0.0,False,True,jest_success,accepted,4.0,3.0,0.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,100.0,
run-20260901T031236.570959Z,qwen_coder_3b,structured,order,searchOrdersAdvanced,FN_searchOrdersAdvanced_END,src/order/order.service.ts,src/order/order.service.spec.ts,1,low,76,78,556cd6ea,15596763600,2414,True,True,2.0,3064.0,3.0,0.0,False,True,jest_success,accepted,3.0,1.0,0.0,2.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,100.0,
run-20260901T031236.570959Z,qwen_coder_3b,structured,order,validateOrderResult,FN_validateOrderResult_END,src/order/order.service.ts,src/order/order.service.spec.ts,15,high,80,158,556cd6ea,27071880900,3651,True,True,1.0,12144.0,8.0,0.0,False,True,jest_success,accepted,10.0,2.0,0.0,8.0,29.0,6.0,20.69,28.0,3.0,10.71,3.0,1.0,33.33,
run-20260901T031236.570959Z,qwen_coder_3b,structured,order,cancelOrder,FN_cancelOrder_END,src/order/order.service.ts,src/order/order.service.spec.ts,2,low,160,168,556cd6ea,5851345200,1996,True,True,0.0,0.0,0.0,0.0,False,True,jest_success,accepted,2.0,2.0,0.0,0.0,5.0,5.0,100.0,2.0,2.0,100.0,1.0,1.0,100.0,
run-20260901T031236.570959Z,qwen_coder_3b,structured,order,updateOrder,FN_updateOrder_END,src/order/order.service.ts,src/order/order.service.spec.ts,7,medium,170,203,556cd6ea,10227498200,2401,True,True,1.0,1928.0,2.0,0.0,False,True,jest_success,accepted,4.0,2.0,0.0,2.0,12.0,5.0,41.67,12.0,7.0,58.33,1.0,1.0,100.0,
run-20260901T031236.570959Z,qwen_coder_3b,structured,patient,getPatientById,FN_getPatientById_END,src/patient/patient.service.ts,src/patient/patient.service.spec.ts,2,low,15,21,0ddb42a2,3120341400,1494,True,True,0.0,0.0,0.0,0.0,False,True,jest_success,accepted,1.0,1.0,0.0,0.0,4.0,3.0,75.0,2.0,1.0,50.0,1.0,1.0,100.0,
run-20260901T031236.570959Z,qwen_coder_3b,structured,patient,listPatients,FN_listPatients_END,src/patient/patient.service.ts,src/patient/patient.service.spec.ts,1,low,23,25,0ddb42a2,5716902100,1547,True,True,1.0,625.0,1.0,0.0,False,True,jest_success,accepted,2.0,1.0,0.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,100.0,
run-20260901T031236.570959Z,qwen_coder_3b,structured,patient,createPatient,FN_createPatient_END,src/patient/patient.service.ts,src/patient/patient.service.spec.ts,4,low,27,51,0ddb42a2,14334804200,2251,True,True,1.0,1280.0,1.0,0.0,False,True,jest_success,accepted,3.0,3.0,0.0,0.0,11.0,11.0,100.0,6.0,5.0,83.33,1.0,1.0,100.0,
run-20260901T031236.570959Z,qwen_coder_3b,structured,patient,updatePatient,FN_updatePatient_END,src/patient/patient.service.ts,src/patient/patient.service.spec.ts,10,medium,53,75,0ddb42a2,13456259500,2191,True,True,2.0,2011.0,2.0,0.0,False,True,jest_success,accepted,2.0,1.0,0.0,1.0,7.0,6.0,85.71,18.0,16.0,88.89,1.0,1.0,100.0,
run-20260901T031236.570959Z,qwen_coder_3b,structured,patient,findByCpfOrFail,FN_findByCpfOrFail_END,src/patient/patient.service.ts,src/patient/patient.service.spec.ts,2,low,77,83,0ddb42a2,2979024700,1505,True,True,0.0,0.0,0.0,0.0,False,True,jest_success,accepted,1.0,1.0,0.0,0.0,4.0,3.0,75.0,2.0,1.0,50.0,1.0,1.0,100.0,
run-20260901T031236.570959Z,qwen_coder_3b,structured,result,createResult,FN_createResult_END,src/result/result.service.ts,src/result/result.service.spec.ts,5,medium,26,39,357b6b51,14146098900,2289,True,False,4.0,0.0,0.0,0.0,False,False,jest_failed,restored,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
