model,strategy,module,function,ccm,total_tests,passed_tests,fn_functions_pct
qwen_coder_3b,few_shot,encounter,getEncounterById,2,2.0,2.0,100.0
qwen_coder_3b,few_shot,order,getOrderById,2,2.0,2.0,100.0
qwen_coder_3b,few_shot,order,searchOrders,1,2.0,2.0,100.0
qwen_coder_3b,few_shot,order,searchOrdersAdvanced,1,2.0,1.0,100.0
qwen_coder_3b,few_shot,order,cancelOrder,2,2.0,2.0,100.0
qwen_coder_3b,few_shot,patient,getPatientById,2,2.0,2.0,100.0
qwen_coder_3b,few_shot,patient,updatePatient,10,2.0,1.0,100.0
qwen_coder_3b,few_shot,patient,findByCpfOrFail,2,2.0,2.0,100.0
qwen_coder_3b,few_shot,result,searchResults,1,2.0,2.0,100.0
qwen_coder_3b,few_shot,result,getResultById,2,2.0,2.0,100.0
qwen_coder_3b,few_shot,patient,listPatients,1,1.0,1.0,100.0
qwen_coder_3b,structured,encounter,processAdtMessage,21,11.0,6.0,100.0
qwen_coder_3b,structured,encounter,transitionEncounterStatus,18,10.0,10.0,100.0
qwen_coder_3b,structured,order,validateOrderResult,15,10.0,2.0,33.33
qwen_coder_3b,structured,result,updateResult,26,9.0,8.0,100.0
qwen_coder_3b,structured,result,buildResultReport,17,7.0,7.0,100.0
qwen_coder_3b,structured,encounter,updateEncounter,9,6.0,5.0,100.0
qwen_coder_3b,structured,order,createOrder,5,4.0,3.0,100.0
qwen_coder_3b,structured,order,searchOrders,1,4.0,3.0,100.0
qwen_coder_3b,structured,order,updateOrder,7,4.0,2.0,100.0
qwen_coder_3b,structured,encounter,createEncounter,5,3.0,2.0,100.0
qwen_coder_3b,structured,encounter,listEncountersByPatient,1,3.0,2.0,100.0
qwen_coder_3b,structured,order,searchOrdersAdvanced,1,3.0,1.0,100.0
qwen_coder_3b,structured,patient,createPatient,4,3.0,3.0,100.0
qwen_coder_3b,structured,result,searchResults,1,3.0,1.0,100.0
qwen_coder_3b,structured,order,cancelOrder,2,2.0,2.0,100.0
qwen_coder_3b,structured,patient,listPatients,1,2.0,1.0,100.0
qwen_coder_3b,structured,patient,updatePatient,10,2.0,1.0,100.0
qwen_coder_3b,structured,encounter,getEncounterById,2,1.0,1.0,100.0
qwen_coder_3b,structured,order,getOrderById,2,1.0,1.0,100.0
qwen_coder_3b,structured,patient,getPatientById,2,1.0,1.0,100.0
qwen_coder_3b,structured,patient,findByCpfOrFail,2,1.0,1.0,100.0
qwen_coder_3b,structured,result,getResultById,2,1.0,1.0,100.0
qwen_coder_3b,zero_shot,encounter,validateEncounterFields,11,5.0,5.0,100.0
qwen_coder_3b,zero_shot,order,updateOrder,7,5.0,5.0,100.0
qwen_coder_3b,zero_shot,order,searchOrders,1,3.0,2.0,100.0
qwen_coder_3b,zero_shot,order,searchOrdersAdvanced,1,3.0,1.0,100.0
qwen_coder_3b,zero_shot,patient,createPatient,4,3.0,2.0,100.0
qwen_coder_3b,zero_shot,patient,updatePatient,10,3.0,2.0,100.0
qwen_coder_3b,zero_shot,result,createResult,5,3.0,1.0,100.0
qwen_coder_3b,zero_shot,encounter,getEncounterById,2,2.0,1.0,100.0
qwen_coder_3b,zero_shot,order,cancelOrder,2,2.0,2.0,100.0
qwen_coder_3b,zero_shot,patient,getPatientById,2,2.0,2.0,100.0
qwen_coder_3b,zero_shot,patient,listPatients,1,2.0,2.0,100.0
qwen_coder_3b,zero_shot,patient,findByCpfOrFail,2,2.0,1.0,100.0
qwen_coder_7b,few_shot,order,validateOrderResult,15,10.0,4.0,33.33
qwen_coder_7b,few_shot,encounter,validateEncounterFields,11,9.0,9.0,100.0
qwen_coder_7b,few_shot,encounter,transitionEncounterStatus,18,9.0,9.0,50.0
qwen_coder_7b,few_shot,result,updateResult,26,7.0,7.0,100.0
qwen_coder_7b,few_shot,encounter,processAdtMessage,21,6.0,3.0,100.0
qwen_coder_7b,few_shot,encounter,updateEncounter,9,6.0,4.0,100.0
qwen_coder_7b,few_shot,order,updateOrder,7,6.0,6.0,100.0
qwen_coder_7b,few_shot,encounter,createEncounter,5,4.0,3.0,100.0
qwen_coder_7b,few_shot,order,createOrder,5,4.0,3.0,100.0
qwen_coder_7b,few_shot,patient,updatePatient,10,4.0,3.0,100.0
qwen_coder_7b,few_shot,encounter,buildEncounterSummary,20,3.0,2.0,100.0
